area_id,area_name,district,radius_m,store_name,store_category,latitude,longitude,distance_m
A001,충장로 / 금남로,동구,800,설렘담,food,35.1444401548548,126.910674580671,787.8
A001,충장로 / 금남로,동구,800,온화명,food,35.1411711849499,126.914804074147,733.3
A001,충장로 / 금남로,동구,800,문랩핑,retail,35.149984890611,126.912545140754,664.1
A001,충장로 / 금남로,동구,800,광주영화영상인연대,other,35.1509718588008,126.918997098431,453.1
A001,충장로 / 금남로,동구,800,프라임픽,retail,35.1482173288511,126.924629563835,549.9
A001,충장로 / 금남로,동구,800,씬스웍,other,35.1486976023569,126.914873050009,409.2
A001,충장로 / 금남로,동구,800,정관장홍삼대인점,retail,35.1533046973566,126.9165144756,741.9
A001,충장로 / 금남로,동구,800,광주보청기난청이명센터,retail,35.1434826767915,126.9207054128,417.6
A001,충장로 / 금남로,동구,800,누리커뮤니케이션,other,35.1497484248597,126.922696666559,475.2
A001,충장로 / 금남로,동구,800,롯데리아,food,35.1487885956491,126.916102067879,322.9
A001,충장로 / 금남로,동구,800,순창식품,retail,35.1540357584639,126.917918519166,797.5
A001,충장로 / 금남로,동구,800,신부넷해담헌,food,35.1445399485022,126.91155236357,709.3
A001,충장로 / 금남로,동구,800,아이팩토리,retail,35.1454794669652,126.914481345172,423.2
A001,충장로 / 금남로,동구,800,동일전기,other,35.1497048321393,126.911667492986,719.6
A001,충장로 / 금남로,동구,800,대풍쪽갈비,food,35.1480920641991,126.926133134772,679.8
A001,충장로 / 금남로,동구,800,송학여인숙,accommodation,35.1410581221624,126.920872361873,676.4
A001,충장로 / 금남로,동구,800,광주춤추는찹쌀도너츠,food,35.1493135975719,126.919360893342,273.2
A001,충장로 / 금남로,동구,800,듀오웨딩,other,35.1490721237191,126.922258335796,396.5
A001,충장로 / 금남로,동구,800,뷰티산업협회협동조합,other,35.1497923814123,126.920973651211,377.5
A001,충장로 / 금남로,동구,800,밀락원,food,35.1497638008963,126.918647116377,318.7
A001,충장로 / 금남로,동구,800,이노프린팅,other,35.1444011963288,126.91938768618,282.9
A001,충장로 / 금남로,동구,800,디아망,retail,35.1462109092926,126.916401007952,231.2
A001,충장로 / 금남로,동구,800,레인보우,retail,35.1481740139836,126.913743259123,481.1
A001,충장로 / 금남로,동구,800,디자인인컴,other,35.1439954449538,126.91917958829,324.8
A001,충장로 / 금남로,동구,800,재설,accommodation,35.1449951223167,126.917938570706,225.8
A001,충장로 / 금남로,동구,800,아이콘스튜디오,other,35.1436735600968,126.923185246329,536.4
A001,충장로 / 금남로,동구,800,새중앙합동세무사무소,other,35.1505996494251,126.915123481782,530.1
A001,충장로 / 금남로,동구,800,이어인,other,35.1407240492276,126.920005807268,695.4
A001,충장로 / 금남로,동구,800,스튜디오포토비스타,other,35.1527032637549,126.920191629791,657.6
A001,충장로 / 금남로,동구,800,시우,food,35.1498273364134,126.919305514725,328.7
A001,충장로 / 금남로,동구,800,씨유서석그랜드점,retail,35.1441067943004,126.924106621031,573.8
A001,충장로 / 금남로,동구,800,변지유부틱,retail,35.1488648108147,126.922258532963,382.9
A001,충장로 / 금남로,동구,800,비쥬느와르검은보석,food,35.1473417221968,126.922589202233,348.0
A001,충장로 / 금남로,동구,800,세종기획인쇄,other,35.1438603066122,126.919278483908,340.8
A001,충장로 / 금남로,동구,800,손탁앤아이허,food,35.1503517941991,126.921851064788,473.6
A001,충장로 / 금남로,동구,800,문장학원,other,35.1495781985535,126.924332002218,584.5
A001,충장로 / 금남로,동구,800,화신다방,food,35.1499048751557,126.914092612475,543.0
A001,충장로 / 금남로,동구,800,메가엠지씨커피광주,cafe,35.1488754515834,126.924837467437,591.2
A001,충장로 / 금남로,동구,800,반도문화사,other,35.1438603066122,126.919278483908,340.8
A001,충장로 / 금남로,동구,800,스튜디오오늘,other,35.1445212827915,126.923886763309,532.8
A001,충장로 / 금남로,동구,800,서군스튜디오,other,35.144628005145,126.921626089565,360.3
A001,충장로 / 금남로,동구,800,빈티지포럼,retail,35.1478358028256,126.920020796701,152.1
A001,충장로 / 금남로,동구,800,충장로뉴발란스메가샵,retail,35.1482477262062,126.916025803969,293.4
A001,충장로 / 금남로,동구,800,루와,retail,35.1459667875075,126.915314847318,333.4
